,Unnamed: 0,bill number,subjects,summary,policy_area,latest_action,cosponsor_D_perc,cosponsor_R_perc
0,0,4996,"{'legislativeSubjects': [{'name': 'Administrative law and regulatory procedures'}, {'name': 'Appropriations'}, {'name': 'Bankruptcy'}, {'name': 'Caribbean area'}, {'name': 'Delaware'}, {'name': 'Department of Justice'}, {'name': 'Executive agency funding and structure'}, {'name': 'Florida'}, {'name': 'Georgia'}, {'name': 'Government trust funds'}, {'name': 'Judges'}, {'name': 'Judicial procedure and administration'}, {'name': 'Legal fees and court costs'}, {'name': 'Maryland'}, {'name': 'Michigan'}, {'name': 'Nevada'}, {'name': 'New Jersey'}, {'name': 'New York State'}, {'name': 'North Carolina'}], 'policyArea': {'name': 'Finance and Financial Sector'}}"," <p><b>Bankruptcy Administration Improvement Act of 2020 </b></p> <p>This bill modifies administrative provisions related to the bankruptcy trustee system. Specifically, the bill (1) provides for the distribution of bankruptcy fees made to the U.S. Trustee System Fund for the costs of administering payments and trustee compensation, (2) establishes the Chapter 7 Trustee Fund and associated fees, and (3) extends the temporary office of bankruptcy judges in specified judicial districts. </p>",Finance and Financial Sector,2021-01-12,0.6,0.4
1,1,8906,"{'legislativeSubjects': [{'name': 'Child health'}, {'name': 'Disability assistance'}, {'name': 'Government information and archives'}, {'name': 'Health information and medical records'}, {'name': 'Health programs administration and funding'}, {'name': 'Home and outpatient care'}, {'name': 'Long-term, rehabilitative, and terminal care'}, {'name': 'Performance measurement'}, {'name': 'State and local government operations'}], 'policyArea': {'name': 'Health'}}"," <p><b>Lifespan Respite Care Reauthorization Act of </b><b>2020</b></p> <p>This bill reauthorizes through FY2024 and revises the Lifespan Respite Care Program, which supports state lifespan respite care services (i.e., services for family caregivers of children and adults with special needs). </p> <p>The bill requires each state agency that is awarded a grant under the program to report any data required by the Department of Health and Human Services for program monitoring and evaluation. </p>",Health,2021-01-05,0.0,1.0
2,2,8810,"{'legislativeSubjects': [{'name': 'Advisory bodies'}, {'name': 'American Samoa'}, {'name': 'Caribbean area'}, {'name': 'Congressional oversight'}, {'name': 'Department of the Interior'}, {'name': 'Disaster relief and insurance'}, {'name': 'Earth sciences'}, {'name': 'Emergency communications systems'}, {'name': 'Emergency planning and evacuation'}, {'name': 'Executive agency funding and structure'}, {'name': 'Fires'}, {'name': 'Floods and storm protection'}, {'name': 'Forests, forestry, trees'}, {'name': 'Geography and mapping'}, {'name': 'Government information and archives'}, {'name': 'Guam'}, {'name': 'Marshall Islands'}, {'name': 'Northern Mariana Islands'}, {'name': 'Palau'}], 'policyArea': {'name': 'Emergency Management'}}"," <p><strong>National Landslide Preparedness Act</strong> </p> <p>This bill directs the U.S. Geological Survey (USGS) to establish a National Landslide Hazards Reduction Program to identify and understand landslide hazards and risks, reduce losses from landslides, protect communities at risk of landslide hazards, and help improve communication and emergency preparedness.</p> <p>The USGS shall, among other things</p> <ul> <li> develop and publish a national strategy for landslide hazards, risk reduction, and response in the United States (including territories);</li> <li> develop and maintain a publicly accessible national landslide hazard and risk inventory database;</li> <li> expand the early warning system for debris flow; and</li> <li> establish emergency response procedures for the rapid deployment of federal scientists, equipment, and services to areas impacted by a significant landslide event.</li> </ul> <p>The USGS may provide grants to research, map, assess, and collect data on landslide hazards. </p> <p>The National Science Foundation may provide grants to eligible entities for landslide research. </p> <p>The USGS (1) shall advance the identification, mapping, research, and monitoring of subsidence and groundwater resource accounting, particularly in areas affected by drought; (2) shall establish the 3D Elevation Program and the 3D Elevation Federal Interagency Coordinating Committee; and (3) may make grants and enter into cooperative agreements to facilitate the improvement of nationwide coverage of 3D elevation data.</p>",Emergency Management,2021-01-05,1.0,0.0
3,3,8611,"{'legislativeSubjects': [{'name': 'Congressional tributes'}, {'name': 'Florida'}, {'name': 'Government buildings, facilities, and property'}, {'name': 'Postal service'}], 'policyArea': {'name': 'Government Operations and Politics'}}"," <p>Designates the facility of the United States Postal Service located at 4755 Southeast Dixie Highway in Port Salerno, Florida, as the ""Joseph Bullock Post Office Building.""</p>",Government Operations and Politics,2021-01-05,0.5,0.5
4,4,8354,"{'legislativeSubjects': [{'name': 'Criminal investigation, prosecution, interrogation'}, {'name': 'Department of Justice'}, {'name': 'Executive agency funding and structure'}, {'name': 'Fraud offenses and financial crimes'}, {'name': 'Intergovernmental relations'}, {'name': 'Lawyers and legal services'}, {'name': 'Military personnel and dependents'}, {'name': ""Veterans' organizations and recognition""}], 'policyArea': {'name': 'Civil Rights and Liberties, Minority Issues'}}"," <p><b>Servicemembers and Veterans Initiative Act of 2020</b></p> <p>This bill establishes the Servicemembers and Veterans Initiative within the Civil Rights Division of the Department of Justice (DOJ).</p> <p>The initiative shall</p> <ul> <li>serve as legal and policy advisor on DOJ's efforts to enforce criminal and civil laws that impact service members, veterans, and their families;</li> <li>develop policy recommendations for improved enforcement of federal law to support service members, veterans, and their families;</li> <li>serve as the liaison and point of contact between DOJ and the military departments;</li> <li> provide counsel for the Office of Justice Programs to ensure that funding decisions take into account service members, veterans, and their families; </li> <li>serve as a liaison and point of contact with the Consumer Protection Branch of DOJ's Civil Division with respect to the prosecution of federal crimes involving fraud that target service members; and</li> <li>serve as a liaison and point of contact with other DOJ components as needed to support the enforcement of other federal laws that protect service members and veterans.</li> </ul>","Civil Rights and Liberties, Minority Issues",2021-01-05,0.7142857142857143,0.2857142857142857
5,5,7898,"{'legislativeSubjects': [{'name': 'Computers and information technology'}, {'name': 'Fraud offenses and financial crimes'}, {'name': 'Government studies and investigations'}, {'name': 'Health information and medical records'}], 'policyArea': {'name': 'Health'}}"," <p>This bill addresses health information technology provisions concerning cybersecurity practices and information blocking.</p> <p>The Department of Health and Human Services (HHS) may reduce fines and penalties for violations of certain federal privacy standards for health information if an entity subject to those standards has adopted particular cybersecurity practices.</p> <p>This bill also authorizes HHS's Office of the Inspector General to obtain information, assistance, and other support from federal agencies when investigating claims of information blocking by developers of, or entities offering, health information technologies.</p> <p><i>Information blocking</i> refers to a practice that is likely to interfere with, prevent, or materially discourage access, exchange, or use of electronic health information, such as the imposition of fees that make exchanging this information cost prohibitive.</p> </p>",Health,2021-01-05,0.5,0.5
6,6,7810,"{'legislativeSubjects': [{'name': 'Congressional tributes'}, {'name': 'Government buildings, facilities, and property'}, {'name': 'Postal service'}, {'name': 'Texas'}], 'policyArea': {'name': 'Government Operations and Politics'}}"," <p>Designates the facility of the United States Postal Service located at 3519 East Walnut Street in Pearland, Texas, as the ""Tom Reid Post Office Building.""</p>",Government Operations and Politics,2021-01-05,0.3823529411764705,0.6176470588235294
7,7,7502,"{'legislativeSubjects': [{'name': 'Congressional tributes'}, {'name': 'Government buildings, facilities, and property'}, {'name': 'Iowa'}, {'name': 'Postal service'}], 'policyArea': {'name': 'Government Operations and Politics'}}"," <p>Designates the facility of the United States Postal Service located at 101 South 16th Street in Clarinda, Iowa, as the ""Jessie Field Shambaugh Post Office Building.""</p>",Government Operations and Politics,2021-01-05,0.875,0.125
8,8,7460,"{'legislativeSubjects': [{'name': 'Diplomacy, foreign officials, Americans abroad'}, {'name': 'District of Columbia'}, {'name': 'Monuments and memorials'}, {'name': 'National and community service'}, {'name': 'Peace Corps'}], 'policyArea': {'name': 'Public Lands and Natural Resources'}}"," <p><b>Peace Corps Commemorative Work Extension Act</b></p> <p>This bill extends through January 24, 2028, the authority of the Peace Corps Commemorative Foundation to establish a commemorative work on federal land in the District of Columbia and its environs to commemorate the mission of the Peace Corps and the ideals on which the Peace Corps was founded.<br /> </p>",Public Lands and Natural Resources,2021-01-05,0.0,1.0
9,9,7347,"{'legislativeSubjects': [{'name': 'Congressional tributes'}, {'name': 'Department of Veterans Affairs'}, {'name': 'Government buildings, facilities, and property'}, {'name': 'Health facilities and institutions'}, {'name': 'Michigan'}, {'name': 'Military personnel and dependents'}, {'name': ""Veterans' medical care""}], 'policyArea': {'name': 'Armed Forces and National Security'}}"," <p>This bill designates the medical center of the Department of Veterans Affairs in Ann Arbor, Michigan, as the Lieutenant Colonel Charles S. Kettles Department of Veterans Affairs Medical Center or the Lieutenant Colonel Charles S. Kettles VA Medical Center.</p>",Armed Forces and National Security,2021-01-05,0.5,0.5
