,cosponsor_name,cosponsor_party,number
0,Tom Graves,R,5472
1,Austin Scott,R,5472
2,JOHN LEWIS,D,5472
3,Rick Allen,R,5472
4,A. Ferguson,R,5472
5,Henry Johnson,D,5472
6,Barry Loudermilk,R,5472
7,David Scott,D,5472
8,Earl Carter,R,5472
9,Lucy McBath,D,5472
10,Jody Hice,R,5472
11,Doug Collins,R,5472
12,Rob Woodall,R,5472
13,Jared Huffman,D,5126
14,Steven Palazzo,R,5126
15,Joe Cunningham,D,5126
16,Francis Rooney,R,5126
17,Marc Veasey,D,5126
18,Daniel Webster,R,5126
19,Anthony Gonzalez,R,4704
20,EDDIE JOHNSON,D,4704
21,Troy Balderson,R,4704
22,Haley Stevens,D,4704
23,Josh Harder,D,4704
24,David Trone,D,4704
25,Mikie Sherrill,D,4704
26,Jennifer Wexton,D,4704
27,Conor Lamb,D,4704
28,Kendra Horn,D,4704
29,Ed Perlmutter,D,4704
30,ZOE LOFGREN,D,4704
31,Daniel Lipinski,D,4704
32,Kathleen Rice,D,4704
33,Jimmy Panetta,D,4704
34,Doug LaMalfa,R,4704
35,Ann Wagner,R,4508
36,GREGORY MEEKS,D,4508
37,Brenda Lawrence,D,4508
38,JAMES MCGOVERN,D,4508
39,Brian Fitzpatrick,R,4508
40,John Moolenaar,R,4508
41,Will Hurd,R,4508
42,Adriano Espaillat,D,4508
43,Ilhan Omar,D,4508
44,Mario Diaz-Balart,R,4508
45,Cathy Rodgers,R,4508
46,Dina Titus,D,4508
47,William Keating,D,4508
48,Tom Malinowski,D,4508
49,Vicente Gonzalez,D,4508
50,Juan Vargas,D,4508
51,David Trone,D,4508
52,Susan Brooks,R,4508
53,Aumua Amata Radewagen,R,4508
54,STEVE CHABOT,R,4508
55,Ami Bera,D,4508
56,Chrissy Houlahan,D,4508
57,Elise Stefanik,R,4508
58,David Cicilline,D,4508
59,Colin Allred,D,4508
60,Michael Turner,R,4508
61,Dean Phillips,D,4508
62,CHRISTOPHER SMITH,R,4508
63,Vicky Hartzler,R,4508
64,Abigail Spanberger,D,4508
65,Michael Waltz,R,4508
66,Van Taylor,R,4508
67,Lizzie Fletcher,D,4044
68,Garret Graves,R,4044
69,Derek Kilmer,D,4044
70,Jenniffer Gonzalez-Colon,R,4044
71,Salud Carbajal,D,4044
72,JOSE SERRANO,D,4044
73,Paul Tonko,D,4044
74,RICK LARSEN,D,4044
75,Harley Rouda,D,4044
76,Chris Pappas,D,4044
77,Joseph Kennedy,D,4044
78,Sean Maloney,D,4044
79,John Garamendi,D,4044
80,Suzan DelBene,D,4044
81,Brian Mast,R,4044
82,Andy Kim,D,4044
83,Lisa Blunt Rochester,D,4044
84,Jefferson Van Drew,D,4044
85,Charlie Crist,D,4044
86,Bradley Byrne,R,4044
87,Debbie Wasserman Schultz,D,4044
88,Vern Buchanan,R,4044
89,Bill Posey,R,4044
90,JERROLD NADLER,D,4044
91,Eric Swalwell,D,4044
92,FRANK PALLONE,D,4044
93,Chris Van Hollen,D,371
94,Angus King,I,371
95,David Perdue,R,371
96,Kyrsten Sinema,D,371
97,Thomas Tillis,R,371
98,Steve Cohen,D,3250
99,JOHN LEWIS,D,3250
100,Andre Carson,D,3250
101,ELEANOR NORTON,D,3250
102,Henry Johnson,D,3250
103,JERROLD NADLER,D,3250
104,Karen Bass,D,3250
105,Haley Stevens,D,3250
106,Debbie Wasserman Schultz,D,3250
107,Lee Zeldin,R,3250
108,Jamie Raskin,D,3250
109,Bradley Schneider,D,3250
110,JANICE SCHAKOWSKY,D,3250
111,Anthony Brown,D,3250
112,Charles Fleischmann,R,3250
113,Robin Kelly,D,3250
114,David Trone,D,3250
115,Ann Kuster,D,3250
116,Terri Sewell,D,3250
117,Susan Wild,D,3250
118,Sylvia Garcia,D,3250
119,Gerald Connolly,D,3250
120,Ed Case,D,3250
121,Robert Scott,D,3250
122,Juan Vargas,D,3250
123,Jennifer Wexton,D,3250
124,Darin LaHood,R,3250
125,Cedric Richmond,D,3250
126,Rodney Davis,R,3250
127,ZOE LOFGREN,D,3250
128,Denver Riggleman,R,3250
129,Abigail Spanberger,D,3250
130,BOBBY RUSH,D,3250
131,Donald Beyer,D,3250
132,Susan Brooks,R,3250
133,Chris Pappas,D,3250
134,Will Hurd,R,3250
135,Cheri Bustos,D,3250
136,Bill Foster,D,3250
137,A. McEachin,D,3250
138,Raja Krishnamoorthi,D,3250
139,Lauren Underwood,D,3250
140,J. Hill,R,3250
141,James Baird,R,3153
142,Madeleine Dean,D,3153
143,Gerald Connolly,D,3153
144,Brian Fitzpatrick,R,3153
145,Derek Kilmer,D,3153
146,Peter Welch,D,3153
147,Troy Balderson,R,3153
148,Matt Cartwright,D,3153
149,JAMES MCGOVERN,D,3153
150,Randy Weber,R,3153
151,Harley Rouda,D,3153
152,Haley Stevens,D,3153
153,Anthony Gonzalez,R,3153
154,Jenniffer Gonzalez-Colon,R,3153
155,David Trone,D,3153
156,Daniel Lipinski,D,3153
157,Roger Marshall,R,3153
158,Sean Casten,D,3153
159,Kendra Horn,D,3153
160,Brian Babin,R,3153
161,EDDIE JOHNSON,D,3153
162,FRANK LUCAS,R,3153
163,Mikie Sherrill,D,3153
164,Suzanne Bonamici,D,3153
165,Judy Chu,D,3153
166,ELIOT ENGEL,D,2744
167,Michael Guest,R,2744
168,BRAD SHERMAN,D,2744
169,Mark Meadows,R,2502
170,Greg Pence,R,2502
171,Greg Pence,R,2444
172,BRAD SHERMAN,D,2444
173,Tom Malinowski,D,2444
174,Dean Phillips,D,2444
175,Abigail Spanberger,D,2444
176,Van Taylor,R,2444
177,Bradley Schneider,D,221
178,ELIOT ENGEL,D,221
179,PETER KING,R,221
180,Marc Veasey,D,221
181,Lee Zeldin,R,221
182,NITA LOWEY,D,221
183,KAY GRANGER,R,221
184,Theodore Deutch,D,221
185,Brian Fitzpatrick,R,221
186,Gus Bilirakis,R,221
187,Will Hurd,R,221
188,Mark DeSaulnier,D,221
189,BRAD SHERMAN,D,221
190,Steve Cohen,D,221
191,ALCEE HASTINGS,D,221
192,Max Rose,D,221
193,Daniel Lipinski,D,221
194,David Schweikert,R,221
195,C. A. Ruppersberger,D,221
196,Donald Beyer,D,221
197,ELEANOR NORTON,D,221
198,Grace Meng,D,221
199,JANICE SCHAKOWSKY,D,221
200,Dina Titus,D,221
201,Bill Foster,D,221
202,David Cicilline,D,221
203,Charles Fleischmann,R,221
204,Thomas Suozzi,D,221
205,GRACE NAPOLITANO,D,221
206,Randy Weber,R,221
207,Lois Frankel,D,221
208,Filemon Vela,D,221
209,Kathleen Rice,D,221
210,James Himes,D,221
211,Mark Meadows,R,221
212,Donald Norcross,D,221
213,NYDIA VELAZQUEZ,D,221
214,Eric Swalwell,D,221
215,STEVE CHABOT,R,221
216,Debbie Wasserman Schultz,D,221
217,Ro Khanna,D,221
218,Scott DesJarlais,R,221
219,Albio Sires,D,221
220,Ted Lieu,D,221
221,Brenda Lawrence,D,221
222,Joseph Morelle,D,221
223,Josh Gottheimer,D,221
224,Matt Gaetz,R,221
225,John Moolenaar,R,221
226,Robin Kelly,D,221
227,Gerald Connolly,D,221
228,Derek Kilmer,D,221
229,Joe Courtney,D,221
230,Julia Brownley,D,221
231,David Joyce,R,221
232,Salud Carbajal,D,221
233,Brian Higgins,D,221
234,Ilhan Omar,D,221
235,ANNA ESHOO,D,221
236,Sean Maloney,D,221
237,Chris Stewart,R,221
238,Anthony Brown,D,221
239,Norma Torres,D,221
240,Josh Harder,D,221
241,David Kustoff,R,221
242,Brett Guthrie,R,221
243,Andy Levin,D,221
244,Seth Moulton,D,221
245,Mike Bost,R,221
246,John Rutherford,R,221
247,Matt Cartwright,D,221
248,Chris Collins,R,221
249,RON KIND,D,221
250,Bill Johnson,R,221
251,Ben Lujan,D,221
252,Michael Burgess,R,221
253,Bonnie Watson Coleman,D,221
254,Robert Latta,R,221
255,Jackie Walorski,R,221
256,Ralph Norman,R,221
257,Don Bacon,R,221
258,DAVID PRICE,D,221
259,Bob Gibbs,R,221
260,MARCY KAPTUR,D,221
261,SUSAN DAVIS,D,221
262,J. Correa,D,221
263,Vern Buchanan,R,221
264,Adriano Espaillat,D,1925
265,JERROLD NADLER,D,1925
266,NYDIA VELAZQUEZ,D,1925
267,PETER KING,R,1925
268,GREGORY MEEKS,D,1925
269,ELIOT ENGEL,D,1925
270,Max Rose,D,1925
271,Paul Tonko,D,1925
272,Thomas Suozzi,D,1925
273,Joseph Morelle,D,1925
274,Grace Meng,D,1925
275,Elise Stefanik,R,1925
276,Yvette Clarke,D,1925
277,Brian Higgins,D,1925
