,cosponsor_name,cosponsor_party,number
0,Jeff Denham,R,7319
1,Jeff Denham,R,7318
2,GRACE NAPOLITANO,D,7279
3,Robert Latta,R,7279
4,Marcia Fudge,D,7279
5,STEVE CHABOT,R,7279
6,Cheri Bustos,D,7279
7,David Joyce,R,7279
8,ILEANA ROS-LEHTINEN,R,672
9,Theodore Deutch,D,672
10,Peter Roskam,R,672
11,CHRISTOPHER SMITH,R,672
12,ELIOT ENGEL,D,672
13,KAY GRANGER,R,672
14,Marc Veasey,D,672
15,Bradley Schneider,D,672
16,LUCILLE ROYBAL-ALLARD,D,672
17,Brian Mast,R,672
18,David Joyce,R,672
19,Barbara Comstock,R,672
20,Bob Gibbs,R,672
21,STEVE CHABOT,R,672
22,ED ROYCE,R,672
23,Daniel Donovan,R,672
24,BRAD SHERMAN,D,672
25,Ted Poe,R,672
26,Albio Sires,D,672
27,David Cicilline,D,672
28,Ted Lieu,D,672
29,Thomas Suozzi,D,672
30,Ann Kuster,D,672
31,Jackie Walorski,R,672
32,Luke Messer,R,672
33,Lois Frankel,D,672
34,Debbie Wasserman Schultz,D,672
35,Brendan Boyle,D,672
36,Michelle Lujan Grisham,D,672
37,SANDER LEVIN,D,672
38,Josh Gottheimer,D,672
39,David Kustoff,R,672
40,PETER KING,R,672
41,Don Bacon,R,672
42,Sheldon Whitehouse,D,512
43,Jim Inhofe,R,512
44,Cory Booker,D,512
45,Mike Crapo,R,512
46,Deb Fischer,R,512
47,Shelley Capito,R,512
48,Joseph Manchin,D,512
49,Bob Casey,D,512
50,Tammy Duckworth,D,512
51,JEFF FLAKE,R,512
52,Thomas Carper,D,512
53,Mike Rounds,R,512
54,Christopher Coons,D,512
55,John Cornyn,R,512
56,ORRIN HATCH,R,512
57,Gary Peters,D,512
58,John Kennedy,R,512
59,James Risch,R,512
60,Blake Farenthold,R,4174
61,Trey Gowdy,R,4174
62,Derek Kilmer,D,4174
63,Robert Menendez,D,1580
64,Joseph Manchin,D,1580
65,Elizabeth Warren,D,1580
66,Tammy Baldwin,D,1580
67,Edward Markey,D,1580
68,Christopher Coons,D,1580
69,John Boozman,R,1580
70,Jeff Merkley,D,1580
71,Chris Van Hollen,D,1580
72,Ron Wyden,D,1580
73,Sheldon Whitehouse,D,1580
74,Susan Collins,R,1580
