,Introduced in House,Reported to House,Passed House,Passed Senate,Public Law,bill,title,Introduced in Senate,House agreed to Senate amendment,Reported to Senate,"Reported to House, Part I",Conference report filed in House,Senate agreed to House amendment
0, <p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>, <p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>, <p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>, <p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>, <p><b>Jimmy Carter National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Jimmy Carter National Historic Site in Georgia as the Jimmy Carter National Historical Park.</p>,5472,Jimmy Carter National Historical Park Redesignation Act,,,,,,
1," <p><b>Direct Enhancement of Snapper Conservation and the Economy through Novel Devices Act of 2019 or the</b> <b>DESCEND Act of 2019</b></p> <p>This bill addresses the use of descending devices to release reef fish in the Gulf of Mexico. (A descending device is an instrument that will release fish at a depth sufficient for the fish to be able to recover from the effects of barotrauma.)</p> <p>Specifically, the bill requires</p> <ul> <li>commercial and recreational fishermen to possess a venting tool or descending device that is rigged and ready for use when fishing for reef fish in the Gulf of Mexico Exclusive Economic Zone, </li> <li>the Department of Commerce to contract with the National Academy of Sciences to conduct a study and produce a report on discard mortality in the Gulf reef fish fisheries, and</li> <li>Commerce and the Gulf of Mexico Fishery Management Council to develop guidance for reporting discards and associated mortality and develop a plan to assess the effectiveness and usage of barotrauma-reducing devices.</li> </ul>"," <p><b>Direct Enhancement of Snapper Conservation and the Economy through Novel Devices Act of 2020 or the</b> <b>DESCEND Act of 2020</b></p> <p>This bill addresses the use of descending devices to release reef fish in the Gulf of Mexico. (A descending device is an instrument that will release fish at a depth sufficient for the fish to be able to recover from the effects of barotrauma.)</p> <p>Specifically, the bill requires</p> <ul> <li>commercial and recreational fishermen to possess a venting tool or descending device that is rigged and ready for use when fishing for reef fish in the Gulf of Mexico Exclusive Economic Zone, </li> <li>the Department of Commerce to contract with the National Academy of Sciences to conduct a study and produce a report on discard mortality in the Gulf reef fish fisheries, and</li> <li>Commerce and the Gulf of Mexico Fishery Management Council to develop guidance for reporting discards and associated mortality and develop a plan to assess the effectiveness and usage of barotrauma-reducing devices.</li> </ul>"," <p><b>Direct Enhancement of Snapper Conservation and the Economy through Novel Devices Act of 2020 or the</b> <b>DESCEND Act of 2020</b></p> <p>This bill addresses the use of descending devices to release reef fish in the Gulf of Mexico. (A descending device is an instrument that will release fish at a depth sufficient for the fish to be able to recover from the effects of barotrauma.)</p> <p>Specifically, the bill requires</p> <ul> <li>commercial and recreational fishermen to possess a venting tool or descending device that is rigged and ready for use when fishing for reef fish in the Gulf of Mexico Exclusive Economic Zone, </li> <li>the Department of Commerce to contract with the National Academy of Sciences to conduct a study and produce a report on discard mortality in the Gulf reef fish fisheries, and</li> <li>Commerce and the Gulf of Mexico Fishery Management Council to develop guidance for reporting discards and associated mortality and develop a plan to assess the effectiveness and usage of barotrauma-reducing devices.</li> </ul>"," <p><b>Direct Enhancement of Snapper Conservation and the Economy through Novel Devices Act of 2020 or the</b> <b>DESCEND Act of 2020</b></p> <p>This bill addresses the use of descending devices to release reef fish in the Gulf of Mexico. (A descending device is an instrument that will release fish at a depth sufficient for the fish to be able to recover from the effects of barotrauma.)</p> <p>Specifically, the bill requires</p> <ul> <li>commercial and recreational fishermen to possess a venting tool or descending device that is rigged and ready for use when fishing for reef fish in the Gulf of Mexico Exclusive Economic Zone, </li> <li>the Department of Commerce to contract with the National Academy of Sciences to conduct a study and produce a report on discard mortality in the Gulf reef fish fisheries, and</li> <li>Commerce and the Gulf of Mexico Fishery Management Council to develop guidance for reporting discards and associated mortality and develop a plan to assess the effectiveness and usage of barotrauma-reducing devices.</li> </ul>"," <p><b>Direct Enhancement of Snapper Conservation and the Economy through Novel Devices Act of 2020 or the</b> <b>DESCEND Act of 2020</b></p> <p>This bill addresses the use of descending devices to release reef fish in the Gulf of Mexico. (A descending device is an instrument that will release fish at a depth sufficient for the fish to be able to recover from the effects of barotrauma.)</p> <p>Specifically, the bill requires</p> <ul> <li>commercial and recreational fishermen to possess a venting tool or descending device that is rigged and ready for use when fishing for reef fish in the Gulf of Mexico Exclusive Economic Zone, </li> <li>the Department of Commerce to contract with the National Academy of Sciences to conduct a study and produce a report on discard mortality in the Gulf reef fish fisheries, and</li> <li>Commerce and the Gulf of Mexico Fishery Management Council to develop guidance for reporting discards and associated mortality and develop a plan to assess the effectiveness and usage of barotrauma-reducing devices.</li> </ul>",5126,DESCEND Act of 2020,,,,,,
2,,, <p>This bill authorizes the Sergeant at Arms and Doorkeeper of the Senate to designate one or more employees to approve any payroll action or personnel action.</p>, <p>This bill authorizes the Sergeant at Arms and Doorkeeper of the Senate to designate one or more employees to approve any payroll action or personnel action.</p>, <p>This bill authorizes the Sergeant at Arms and Doorkeeper of the Senate to designate one or more employees to approve any payroll action or personnel action.</p>,5076,A bill to authorize the Sergeant at Arms and Doorkeeper of the Senate to delegate authority to approve payroll and personnel actions., <p>This bill authorizes the Sergeant at Arms and Doorkeeper of the Senate to designate one or more employees to approve any payroll action or personnel action.</p>,,,,,
3," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p>"," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p>"," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation (NSF) to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p> <p>In awarding such grants, the NSF shall encourage applications submitted by early career researchers, including doctoral students and postdoctoral researchers, to promote the researchers' development.</p>"," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation (NSF), taking into consideration prioritized research agendas or strategic plans, as appropriate, to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p> <p>In awarding such grants, the NSF shall encourage applications submitted by early career researchers, including doctoral students and postdoctoral researchers, to promote the researchers' development.</p>"," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation (NSF), taking into consideration prioritized research agendas or strategic plans, as appropriate, to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p> <p>In awarding such grants, the NSF shall encourage applications submitted by early career researchers, including doctoral students and postdoctoral researchers, to promote the researchers' development.</p>",4704,Advancing Research to Prevent Suicide Act,," <p><b>Advancing Research to Prevent Suicide Act</b></p> <p>This bill directs the National Science Foundation (NSF), taking into consideration prioritized research agendas or strategic plans, as appropriate, to award competitive, merit-reviewed grants to institutions of higher education (or their consortia) to support multidisciplinary, fundamental research with potential relevance to suicide, including potential relevance to prevention and treatment. </p> <p>In awarding such grants, the NSF shall encourage applications submitted by early career researchers, including doctoral students and postdoctoral researchers, to promote the researchers' development.</p>",,,,
4, <p><b>Malala Yousafzai Scholarship Act</b></p> <p>This bill requires the U.S. Agency for International Development to award at least 50% of the number of scholarships under the Merit and Needs-Based Scholarship Program to Pakistani women for each of the calendar years 2020-2022.</p>,, <p><b>Malala Yousafzai Scholarship Act</b></p> <p>This bill requires the U.S. Agency for International Development to award at least 50% of the number of scholarships under the Merit and Needs-Based Scholarship Program to Pakistani women for each of the calendar years 2020-2022.</p>, <p><b>Malala Yousafzai Scholarship Act</b></p> <p>This bill requires the U.S. Agency for International Development to award at least 50% of the number of scholarships under the Merit and Needs-Based Scholarship Program to Pakistani women for each of the calendar years 2020-2022.</p>, <p><b>Malala Yousafzai Scholarship Act</b></p> <p>This bill requires the U.S. Agency for International Development to award at least 50% of the number of scholarships under the Merit and Needs-Based Scholarship Program to Pakistani women for each of the calendar years 2020-2022.</p>,4508,Malala Yousafzai Scholarship Act,,,,,,
5," <p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>"," <p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>"," <p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>"," <p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>"," <p><b>Protect and Restore America's Estuaries Act</b></p> <p>This bill reauthorizes for FY2022-FY2026 and revises the National Estuary Program, which provides grants to protect or restore estuaries of national significance. Specifically, the bill expands the types of projects that qualify for grants under the program, such as projects that address issues related to coastal resiliency, stormwater runoff, or accelerated land loss. </p>",4044,Protect and Restore America's Estuaries Act,,,,,,
6,,, <p><b>Building Up Independent Lives and Dreams Act or the BUILD Act </b></p> <p>This bill allows nonprofit organizations offering mortgage loans for charitable purposes to use certain alternative forms to satisfy disclosure requirements. </p>, <p><b>Building Up Independent Lives and Dreams Act or the BUILD Act </b></p> <p>This bill allows nonprofit organizations offering mortgage loans for charitable purposes to use certain alternative forms to satisfy disclosure requirements. </p>, <p><b>Building Up Independent Lives and Dreams Act or the BUILD Act </b></p> <p>This bill allows nonprofit organizations offering mortgage loans for charitable purposes to use certain alternative forms to satisfy disclosure requirements. </p>,371,Building Up Independent Lives and Dreams Act, <p><b>Building Up Independent Lives and Dreams Act or the BUILD Act </b></p> <p>This bill allows nonprofit organizations offering mortgage loans for charitable purposes to use certain alternative forms to satisfy disclosure requirements. </p>,,,,,
7," <p><b>Julius Rosenwald and the Rosenwald Schools Act of 2019</b></p> <p>This bill directs the Department of the Interior to study the sites associated with the life and legacy of Julius Rosenwald, a part-owner and President of Sears, Roebuck and Company and a noted philanthropist. The study shall include a special focus on the Rosenwald Schools (the 5,357 schools and related buildings that were constructed in 15 southern states between 1912 and 1932). </p> <p>In conducting such study, Interior shall (1) determine which sites are of national significance, (2) prioritize the study of any Rosenwald Schools recommended to Interior by the State Historic Preservation Officer of any of the states in which such schools exist, and (3) determine the suitability and feasibility of designating one or more units of the National Park System to include those Rosenwald Schools and other sites representing Julius Rosenwald's life and legacy. </p>"," <p><b>Julius Rosenwald and the Rosenwald Schools Act of 2020</b></p> <p>This bill directs the Department of the Interior to study the sites associated with the life and legacy of Julius Rosenwald, a part owner and President of Sears, Roebuck and Company and a noted philanthropist who helped finance construction of 5,357 schools in 15 southern states between 1912 and 1932. The study shall include a special emphasis on specified sites, including certain Rosenwald Schools. </p> <p>In conducting such study, Interior shall (1) evaluate the national significance of the sites; and (2) determine the suitability and feasibility of designating the sites as a unit of the National Park System, including an interpretive center in or near Chicago, Illinois.</p>"," <p><b>Julius Rosenwald and the Rosenwald Schools Act of 2020</b></p> <p>This bill directs the Department of the Interior to study the sites associated with the life and legacy of Julius Rosenwald, a part owner and President of Sears, Roebuck and Company and a noted philanthropist who helped finance construction of 5,357 schools in 15 southern states between 1912 and 1932. The study shall include a special emphasis on specified sites, including certain Rosenwald Schools. </p> <p>In conducting such study, Interior shall (1) evaluate the national significance of the sites; and (2) determine the suitability and feasibility of designating the sites as a unit of the National Park System, including an interpretive center in or near Chicago, Illinois.</p>"," <p><b>Julius Rosenwald and the Rosenwald Schools Act of 2020</b></p> <p>This bill directs the Department of the Interior to study the sites associated with the life and legacy of Julius Rosenwald, a part owner and President of Sears, Roebuck and Company and a noted philanthropist who helped finance construction of 5,357 schools in 15 southern states between 1912 and 1932. The study shall include a special emphasis on specified sites, including certain Rosenwald Schools. </p> <p>In conducting such study, Interior shall (1) evaluate the national significance of the sites; and (2) determine the suitability and feasibility of designating the sites as a unit of the National Park System, including an interpretive center in or near Chicago, Illinois.</p>"," <p><b>Julius Rosenwald and the Rosenwald Schools Act of 2020</b></p> <p>This bill directs the Department of the Interior to study the sites associated with the life and legacy of Julius Rosenwald, a part owner and President of Sears, Roebuck and Company and a noted philanthropist who helped finance construction of 5,357 schools in 15 southern states between 1912 and 1932. The study shall include a special emphasis on specified sites, including certain Rosenwald Schools. </p> <p>In conducting such study, Interior shall (1) evaluate the national significance of the sites; and (2) determine the suitability and feasibility of designating the sites as a unit of the National Park System, including an interpretive center in or near Chicago, Illinois.</p>",3250,Julius Rosenwald and the Rosenwald Schools Act of 2020,,,,,,
8, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>,3153,Expanding Findings for Federal Opioid Research and Treatment Act,, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>, <p><b>Expanding Findings for Federal Opioid Research and Treatment Act or the EFFORT Act</b></p> <p>This bill directs the National Science Foundation to support merit-reviewed and competitively awarded research on the science of opioid addiction. </p>,,,
9," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>",," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>"," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>"," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>",2744,USAID Branding Modernization Act,," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>"," <p><b>USAID Branding Modernization Act</b></p> <p>This bill authorizes the U.S.&nbsp;Agency for International Development (USAID) to use various markings, including USAID logos and the U.S. flag, to identify overseas USAID programs. The USAID Inspector General shall submit to Congress an audit of compliance with USAID branding requirements by partner entities implementing USAID programs. </p> <p>Current law requires overseas USAID programs to be identified as <em>American Aid</em>. USAID guidelines authorize the use of the U.S. flag only in&nbsp;certain situations.</p>",,,
