,x,y,title,cosponsor_D_perc,policyarea,session,cluster
0,-3.5901830196380615,7.658373832702637,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,0.0,Taxation,115,-1_sec_funds_act_provides
1,-3.594755172729492,7.699090957641602,A joint resolution approving the location of a memorial to commemorate and honor the members of the Armed Forces who served on active duty in support of Operation Desert Storm or Operation Desert Shield.,0.0,Taxation,115,-1_sec_funds_act_provides
2,-2.166321277618408,8.902572631835938,Substance Use-Disorder Prevention that Promotes Opioid Recovery and Treatment for Patients and Communities Act,0.375,Health,115,4_shall_faa_sec_tsa
3,-3.2277486324310303,8.881369590759277,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to ""Update of Commission's Conciliation Procedures"".",0.0,Labor and Employment,117,-1_sec_funds_act_provides
4,-4.669877052307129,7.538813591003418,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review"".",0.952380952380952,Environmental Protection,117,-1_sec_funds_act_provides
5,-3.193953275680542,7.624170303344727,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to ""National Banks and Federal Savings Associations as Lenders"".",1.0,Finance and Financial Sector,117,-1_sec_funds_act_provides
6,-3.457301378250122,8.329341888427734,Government Employee Fair Treatment Act of 2019,0.952380952380952,Government Operations and Politics,116,-1_sec_funds_act_provides
7,-3.9303719997406006,8.266748428344727,Construction Consensus Procurement Improvement Act of 2021,1.0,Government Operations and Politics,117,-1_sec_funds_act_provides
8,4.47992467880249,0.35280463099479675,Providing for the appointment of Barbara Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,1.0,Government Operations and Politics,117,17_regent_regents_smithsonian_citizen
9,-3.834507465362549,7.796078681945801,"Further Additional Continuing Appropriations Act, 2019",0.0,Economics and Public Finance,116,2_sec_section_funds_division
10,4.4655914306640625,0.3671969175338745,A joint resolution providing for the reappointment of Steve Case as a citizen regent of the Board of Regents of the Smithsonian Institution.,0.5,Government Operations and Politics,115,17_regent_regents_smithsonian_citizen
11,-4.550937175750732,8.300190925598145,"Consolidated Appropriations Act, 2019",0.0,Economics and Public Finance,116,2_sec_section_funds_division
12,-3.947193145751953,7.930003643035889,A joint resolution joint resolution relating to increasing the debt limit.,0.0,Economics and Public Finance,117,2_sec_section_funds_division
13,-4.97790002822876,5.819606781005859,Black Hills National Cemetery Boundary Expansion Act,0.0,Public Lands and Natural Resources,115,5_land_interior_tribe_national
14,-4.922713756561279,5.7764058113098145,A joint resolution providing for the appointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,0.0,Public Lands and Natural Resources,115,5_land_interior_tribe_national
15,4.447695732116699,0.3823198676109314,A joint resolution providing for the appointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.,0.5,Government Operations and Politics,115,17_regent_regents_smithsonian_citizen
